Age,AnnualSalary,Attrition,Department,EmployeeID,EngagementScore,JobRole,JobSatisfaction,OverTime,PerformanceRating,TenureYears,WorkLifeBalance,WorkMode,YearsSinceLastPromotion
43,54767,No,News & Content,1,1,Photojournalist,3,No,3,4.1,3,On-site,0.3
39,72622,No,Sales,2,1,Account Executive,3,Yes,3,4.3,4,On-site,0.2
39,57567,No,Finance,3,4,Financial Analyst,1,No,2,0.8,4,Hybrid,0.8
36,95031,Yes,News & Content,4,3,Editor,2,Yes,3,10.8,3,Remote,7.7
28,105281,No,Engineering,5,4,Systems Engineer,3,No,3,3.8,4,Remote,1.7
45,88299,Yes,News & Content,6,4,Photojournalist,4,No,4,0.3,1,Hybrid,0.3
46,109974,No,News & Content,7,1,Photojournalist,3,No,3,9.8,3,Hybrid,1.8
46,70325,No,Sales,8,3,Account Executive,3,No,3,1.0,2,Remote,1.0
43,104429,No,News & Content,9,2,Editor,4,No,4,9.2,4,On-site,3.6
34,47631,No,News & Content,10,3,News Director,3,No,3,2.0,3,On-site,0.6
40,69915,No,News & Content,11,3,News Director,2,No,3,14.8,2,Hybrid,0.1
41,93484,No,Sales,12,2,Sales Manager,4,No,3,19.1,4,Hybrid,2.2
38,38481,No,Sales,13,2,Account Executive,4,No,3,5.4,2,On-site,3.6
44,48547,No,News & Content,14,3,Producer,3,Yes,3,5.1,2,On-site,5.1
23,105340,No,Finance,15,4,Accountant,4,No,2,1.9,4,On-site,1.9
46,67996,No,Sales,16,4,Sales Manager,3,Yes,3,12.7,2,On-site,1.5
46,125110,No,Human Resources,17,2,HR Generalist,3,No,4,0.4,2,Hybrid,0.4
52,45035,Yes,News & Content,18,3,Producer,1,No,4,1.0,2,On-site,1.0
42,69960,No,Sales,19,2,Account Executive,4,No,3,14.9,3,Hybrid,0.8
41,101607,No,News & Content,20,3,Reporter,4,No,3,4.3,3,Hybrid,0.8
26,85859,No,Engineering,21,1,Broadcast Engineer,3,Yes,3,0.3,4,Hybrid,0.3
33,58785,No,Finance,22,3,Accountant,1,Yes,2,4.0,4,On-site,2.1
51,95205,No,News & Content,23,2,Editor,3,No,2,16.8,4,On-site,1.3
54,63058,No,Sales,24,4,Account Executive,2,No,3,2.6,3,Hybrid,2.4
50,52185,No,Sales,25,1,Sales Manager,1,No,3,0.1,1,On-site,0.1
27,62916,No,Sales,26,4,Sales Manager,1,No,3,4.7,3,Remote,2.5
44,100910,No,Finance,27,4,Finance Manager,1,No,3,3.8,4,On-site,3.8
31,58379,Yes,News & Content,28,4,Photojournalist,2,No,3,0.4,1,Hybrid,0.4
37,57835,No,News & Content,29,3,Photojournalist,3,No,3,15.4,3,On-site,2.9
40,95111,No,News & Content,30,4,News Director,1,No,4,2.5,3,On-site,0.8
33,99552,No,Sales,31,3,Account Executive,4,Yes,3,13.0,3,Hybrid,0.2
40,34000,Yes,Finance,32,3,Accountant,4,Yes,3,0.3,2,On-site,0.3
32,34010,Yes,Sales,33,3,Account Executive,2,No,4,10.0,2,On-site,4.4
46,80705,No,News & Content,34,4,News Director,3,No,3,0.4,2,On-site,0.0
43,92528,No,Sales,35,3,Account Executive,2,Yes,3,5.1,3,Hybrid,1.7
41,74734,No,News & Content,36,3,Photojournalist,4,No,3,21.0,3,Hybrid,1.3
36,55183,Yes,Finance,37,2,Financial Analyst,2,No,3,0.5,3,On-site,0.5
21,87997,No,Sales,38,4,Account Executive,2,No,3,1.0,4,On-site,1.0
25,77308,No,Finance,39,3,Accountant,4,No,3,2.4,4,Hybrid,2.4
39,72146,No,Sales,40,4,Sales Coordinator,4,Yes,3,1.4,4,Remote,1.3
48,115158,No,News & Content,41,3,Producer,1,No,4,2.0,3,Hybrid,1.6
39,44982,Yes,News & Content,42,1,Photojournalist,1,No,3,4.4,3,Remote,1.1
33,109364,No,News & Content,43,4,Producer,4,No,3,4.4,2,Hybrid,1.5
42,85582,No,News & Content,44,3,Editor,3,No,3,3.9,3,On-site,0.4
28,86113,Yes,Engineering,45,2,IT Support,1,Yes,3,1.0,2,Hybrid,0.2
26,70834,No,News & Content,46,3,Photojournalist,4,No,4,1.7,2,On-site,0.0
32,37614,No,News & Content,47,3,News Director,3,No,3,3.0,3,Hybrid,0.1
47,39246,No,News & Content,48,4,Photojournalist,1,No,2,9.1,2,Hybrid,4.0
54,96685,No,Sales,49,1,Account Executive,3,No,3,7.0,3,On-site,3.0
24,34000,Yes,News & Content,50,1,Reporter,4,No,4,1.3,2,On-site,1.3
45,76065,No,Engineering,51,3,IT Support,4,No,3,0.1,4,Hybrid,0.1
