Age,AnnualSalary,Attrition,Department,EmployeeID,EngagementScore,JobRole,JobSatisfaction,OverTime,PerformanceRating,TenureYears,WorkLifeBalance,WorkMode,YearsSinceLastPromotion,CandidateID,HireSource,TimeToHireDays,HireDate,NameMatchScore,MatchStatus,TicketCount,EscalatedTickets,AvgResolveDays
43,54767,No,News & Content,1,1,Photojournalist,3,No,3,4.1,3,On-site,0.3,9001,LinkedIn,19,2024-06-02,1.0,OK,5,1,1.8
39,72622,No,Sales,2,1,Account Executive,3,Yes,3,4.3,4,On-site,0.2,9002,Employee Referral,38,2020-10-05,1.0,OK,2,0,1.5
39,57567,No,Finance,3,4,Financial Analyst,1,No,2,0.8,4,Hybrid,0.8,9003,Employee Referral,37,2025-03-18,1.0,OK,5,0,3.2
36,95031,Yes,News & Content,4,3,Editor,2,Yes,3,10.8,3,Remote,7.7,9004,Career Site,47,2025-11-16,1.0,OK,10,2,2.6
28,105281,No,Engineering,5,4,Systems Engineer,3,No,3,3.8,4,Remote,1.7,9005,Employee Referral,26,2022-12-30,1.0,OK,0,0,0.0
45,88299,Yes,News & Content,6,4,Photojournalist,4,No,4,0.3,1,Hybrid,0.3,9006,Employee Referral,27,2019-02-10,1.0,OK,6,0,2.3333333333333335
46,109974,No,News & Content,7,1,Photojournalist,3,No,3,9.8,3,Hybrid,1.8,9007,LinkedIn,7,2019-10-19,1.0,OK,3,1,2.6666666666666665
46,70325,No,Sales,8,3,Account Executive,3,No,3,1.0,2,Remote,1.0,9008,LinkedIn,46,2020-12-03,1.0,OK,2,0,3.0
43,104429,No,News & Content,9,2,Editor,4,No,4,9.2,4,On-site,3.6,9009,Indeed,28,2020-08-31,1.0,OK,0,0,0.0
34,47631,No,News & Content,10,3,News Director,3,No,3,2.0,3,On-site,0.6,9010,LinkedIn,24,2021-06-30,1.0,OK,2,0,0.5
40,69915,No,News & Content,11,3,News Director,2,No,3,14.8,2,Hybrid,0.1,9011,LinkedIn,25,2018-07-26,1.0,OK,4,1,3.0
41,93484,No,Sales,12,2,Sales Manager,4,No,3,19.1,4,Hybrid,2.2,9012,Indeed,41,2023-08-31,1.0,OK,2,0,2.0
38,38481,No,Sales,13,2,Account Executive,4,No,3,5.4,2,On-site,3.6,9013,Indeed,35,2021-08-04,1.0,OK,4,0,2.75
44,48547,No,News & Content,14,3,Producer,3,Yes,3,5.1,2,On-site,5.1,9014,Employee Referral,27,2020-01-17,1.0,OK,3,0,5.666666666666667
23,105340,No,Finance,15,4,Accountant,4,No,2,1.9,4,On-site,1.9,9015,Employee Referral,26,2018-09-16,1.0,OK,3,1,7.333333333333333
46,67996,No,Sales,16,4,Sales Manager,3,Yes,3,12.7,2,On-site,1.5,9016,Employee Referral,46,2025-05-31,1.0,OK,8,3,2.125
46,125110,No,Human Resources,17,2,HR Generalist,3,No,4,0.4,2,Hybrid,0.4,9017,Career Site,20,2024-10-07,1.0,OK,6,1,6.833333333333333
52,45035,Yes,News & Content,18,3,Producer,1,No,4,1.0,2,On-site,1.0,9018,Indeed,31,2020-06-20,1.0,OK,5,0,3.4
42,69960,No,Sales,19,2,Account Executive,4,No,3,14.9,3,Hybrid,0.8,9019,Employee Referral,31,2024-04-29,1.0,OK,3,1,2.6666666666666665
41,101607,No,News & Content,20,3,Reporter,4,No,3,4.3,3,Hybrid,0.8,9020,Career Site,39,2023-10-29,1.0,OK,2,0,2.5
26,85859,No,Engineering,21,1,Broadcast Engineer,3,Yes,3,0.3,4,Hybrid,0.3,9021,LinkedIn,70,2022-11-14,1.0,OK,2,0,1.5
33,58785,No,Finance,22,3,Accountant,1,Yes,2,4.0,4,On-site,2.1,9022,Employee Referral,49,2021-08-29,1.0,OK,3,1,0.6666666666666666
51,95205,No,News & Content,23,2,Editor,3,No,2,16.8,4,On-site,1.3,9023,University Recruiting,36,2022-10-02,1.0,OK,2,0,1.5
54,63058,No,Sales,24,4,Account Executive,2,No,3,2.6,3,Hybrid,2.4,9024,University Recruiting,45,2022-07-16,1.0,OK,2,1,0.0
50,52185,No,Sales,25,1,Sales Manager,1,No,3,0.1,1,On-site,0.1,9025,Employee Referral,20,2022-12-21,1.0,OK,7,1,1.7142857142857142
27,62916,No,Sales,26,4,Sales Manager,1,No,3,4.7,3,Remote,2.5,9026,LinkedIn,13,2023-06-19,1.0,OK,11,1,1.9090909090909092
44,100910,No,Finance,27,4,Finance Manager,1,No,3,3.8,4,On-site,3.8,9027,Recruiter Sourced,16,2021-02-20,1.0,OK,3,1,3.6666666666666665
31,58379,Yes,News & Content,28,4,Photojournalist,2,No,3,0.4,1,Hybrid,0.4,9028,Indeed,22,2023-09-08,1.0,OK,5,2,3.2
37,57835,No,News & Content,29,3,Photojournalist,3,No,3,15.4,3,On-site,2.9,9029,Employee Referral,41,2019-06-11,1.0,OK,5,0,4.8
40,95111,No,News & Content,30,4,News Director,1,No,4,2.5,3,On-site,0.8,9030,Career Site,45,2022-09-29,1.0,OK,3,0,7.0
33,99552,No,Sales,31,3,Account Executive,4,Yes,3,13.0,3,Hybrid,0.2,9031,Career Site,31,2019-02-03,1.0,OK,2,0,0.5
40,34000,Yes,Finance,32,3,Accountant,4,Yes,3,0.3,2,On-site,0.3,9032,Employee Referral,25,2025-03-29,1.0,OK,5,1,5.0
32,34010,Yes,Sales,33,3,Account Executive,2,No,4,10.0,2,On-site,4.4,9033,Recruiter Sourced,14,2019-08-07,1.0,OK,2,0,3.0
46,80705,No,News & Content,34,4,News Director,3,No,3,0.4,2,On-site,0.0,9034,Employee Referral,48,2025-07-19,1.0,OK,3,0,0.3333333333333333
43,92528,No,Sales,35,3,Account Executive,2,Yes,3,5.1,3,Hybrid,1.7,9035,LinkedIn,49,2020-03-05,1.0,OK,3,1,2.0
41,74734,No,News & Content,36,3,Photojournalist,4,No,3,21.0,3,Hybrid,1.3,9036,Indeed,22,2022-06-11,1.0,OK,5,0,4.6
36,55183,Yes,Finance,37,2,Financial Analyst,2,No,3,0.5,3,On-site,0.5,9037,Recruiter Sourced,20,2019-05-08,1.0,OK,1,1,5.0
21,87997,No,Sales,38,4,Account Executive,2,No,3,1.0,4,On-site,1.0,9038,Career Site,33,2023-02-16,1.0,OK,7,1,1.4285714285714286
25,77308,No,Finance,39,3,Accountant,4,No,3,2.4,4,Hybrid,2.4,9039,Career Site,53,2025-04-01,1.0,OK,4,0,4.75
39,72146,No,Sales,40,4,Sales Coordinator,4,Yes,3,1.4,4,Remote,1.3,9040,Indeed,38,2023-10-28,1.0,OK,5,0,1.0
48,115158,No,News & Content,41,3,Producer,1,No,4,2.0,3,Hybrid,1.6,9041,Indeed,28,2022-10-07,1.0,OK,7,0,1.5714285714285714
39,44982,Yes,News & Content,42,1,Photojournalist,1,No,3,4.4,3,Remote,1.1,9042,Employee Referral,33,2024-03-03,1.0,OK,7,0,1.8571428571428572
33,109364,No,News & Content,43,4,Producer,4,No,3,4.4,2,Hybrid,1.5,9043,Employee Referral,15,2020-08-09,1.0,OK,1,0,1.0
42,85582,No,News & Content,44,3,Editor,3,No,3,3.9,3,On-site,0.4,9044,Indeed,47,2021-06-28,1.0,OK,4,0,5.0
28,86113,Yes,Engineering,45,2,IT Support,1,Yes,3,1.0,2,Hybrid,0.2,9045,Recruiter Sourced,27,2023-05-29,1.0,OK,3,1,1.6666666666666667
26,70834,No,News & Content,46,3,Photojournalist,4,No,4,1.7,2,On-site,0.0,9046,Career Site,14,2019-02-16,1.0,OK,5,1,1.6
32,37614,No,News & Content,47,3,News Director,3,No,3,3.0,3,Hybrid,0.1,9047,Employee Referral,31,2026-01-01,1.0,OK,1,0,4.0
47,39246,No,News & Content,48,4,Photojournalist,1,No,2,9.1,2,Hybrid,4.0,9048,Employee Referral,28,2020-03-24,1.0,OK,7,2,2.857142857142857
54,96685,No,Sales,49,1,Account Executive,3,No,3,7.0,3,On-site,3.0,9049,University Recruiting,40,2022-06-28,1.0,OK,5,0,4.0
24,34000,Yes,News & Content,50,1,Reporter,4,No,4,1.3,2,On-site,1.3,9050,Recruiter Sourced,49,2025-09-04,1.0,OK,5,0,4.2
45,76065,No,Engineering,51,3,IT Support,4,No,3,0.1,4,Hybrid,0.1,9051,Recruiter Sourced,51,2019-03-14,1.0,OK,0,0,0.0
