Age,AnnualSalary,Attrition,Department,EmployeeID,EngagementScore,JobRole,JobSatisfaction,OverTime,PerformanceRating,TenureYears,WorkLifeBalance,WorkMode,YearsSinceLastPromotion,CandidateID,HireSource,TimeToHireDays,HireDate,NameMatchScore,MatchStatus,TicketCount,EscalatedTickets,AvgResolveDays,AttritionRiskScore,RiskSegment
43,54767,No,News & Content,1,1,Photojournalist,3,No,3,4.1,3,On-site,0.3,9001,LinkedIn,19,2024-06-02,1.0,OK,5,1,1.8,0.02582522,Low
39,72622,No,Sales,2,1,Account Executive,3,Yes,3,4.3,4,On-site,0.2,9002,Employee Referral,38,2020-10-05,1.0,OK,2,0,1.5,0.005740269,Low
39,57567,No,Finance,3,4,Financial Analyst,1,No,2,0.8,4,Hybrid,0.8,9003,Employee Referral,37,2025-03-18,1.0,OK,5,0,3.2,0.18458734,Low
36,95031,Yes,News & Content,4,3,Editor,2,Yes,3,10.8,3,Remote,7.7,9004,Career Site,47,2025-11-16,1.0,OK,10,2,2.6,0.9323785,High
28,105281,No,Engineering,5,4,Systems Engineer,3,No,3,3.8,4,Remote,1.7,9005,Employee Referral,26,2022-12-30,1.0,OK,0,0,0.0,0.000107163214,Low
45,88299,Yes,News & Content,6,4,Photojournalist,4,No,4,0.3,1,Hybrid,0.3,9006,Employee Referral,27,2019-02-10,1.0,OK,6,0,2.3333333333333335,0.902923,High
46,109974,No,News & Content,7,1,Photojournalist,3,No,3,9.8,3,Hybrid,1.8,9007,LinkedIn,7,2019-10-19,1.0,OK,3,1,2.6666666666666665,0.013345054,Low
46,70325,No,Sales,8,3,Account Executive,3,No,3,1.0,2,Remote,1.0,9008,LinkedIn,46,2020-12-03,1.0,OK,2,0,3.0,0.003887016,Low
43,104429,No,News & Content,9,2,Editor,4,No,4,9.2,4,On-site,3.6,9009,Indeed,28,2020-08-31,1.0,OK,0,0,0.0,0.05261501,Low
34,47631,No,News & Content,10,3,News Director,3,No,3,2.0,3,On-site,0.6,9010,LinkedIn,24,2021-06-30,1.0,OK,2,0,0.5,0.012487283,Low
40,69915,No,News & Content,11,3,News Director,2,No,3,14.8,2,Hybrid,0.1,9011,LinkedIn,25,2018-07-26,1.0,OK,4,1,3.0,0.05526048,Low
41,93484,No,Sales,12,2,Sales Manager,4,No,3,19.1,4,Hybrid,2.2,9012,Indeed,41,2023-08-31,1.0,OK,2,0,2.0,0.002208041,Low
38,38481,No,Sales,13,2,Account Executive,4,No,3,5.4,2,On-site,3.6,9013,Indeed,35,2021-08-04,1.0,OK,4,0,2.75,0.16048034,Low
44,48547,No,News & Content,14,3,Producer,3,Yes,3,5.1,2,On-site,5.1,9014,Employee Referral,27,2020-01-17,1.0,OK,3,0,5.666666666666667,0.26932445,Low
23,105340,No,Finance,15,4,Accountant,4,No,2,1.9,4,On-site,1.9,9015,Employee Referral,26,2018-09-16,1.0,OK,3,1,7.333333333333333,0.0002492499,Low
46,67996,No,Sales,16,4,Sales Manager,3,Yes,3,12.7,2,On-site,1.5,9016,Employee Referral,46,2025-05-31,1.0,OK,8,3,2.125,0.012588102,Low
46,125110,No,Human Resources,17,2,HR Generalist,3,No,4,0.4,2,Hybrid,0.4,9017,Career Site,20,2024-10-07,1.0,OK,6,1,6.833333333333333,0.8574605,High
52,45035,Yes,News & Content,18,3,Producer,1,No,4,1.0,2,On-site,1.0,9018,Indeed,31,2020-06-20,1.0,OK,5,0,3.4,0.9841966,High
42,69960,No,Sales,19,2,Account Executive,4,No,3,14.9,3,Hybrid,0.8,9019,Employee Referral,31,2024-04-29,1.0,OK,3,1,2.6666666666666665,0.001507328,Low
41,101607,No,News & Content,20,3,Reporter,4,No,3,4.3,3,Hybrid,0.8,9020,Career Site,39,2023-10-29,1.0,OK,2,0,2.5,0.004276897,Low
26,85859,No,Engineering,21,1,Broadcast Engineer,3,Yes,3,0.3,4,Hybrid,0.3,9021,LinkedIn,70,2022-11-14,1.0,OK,2,0,1.5,0.07858579,Low
33,58785,No,Finance,22,3,Accountant,1,Yes,2,4.0,4,On-site,2.1,9022,Employee Referral,49,2021-08-29,1.0,OK,3,1,0.6666666666666666,0.04148651,Low
51,95205,No,News & Content,23,2,Editor,3,No,2,16.8,4,On-site,1.3,9023,University Recruiting,36,2022-10-02,1.0,OK,2,0,1.5,0.020538801,Low
54,63058,No,Sales,24,4,Account Executive,2,No,3,2.6,3,Hybrid,2.4,9024,University Recruiting,45,2022-07-16,1.0,OK,2,1,0.0,0.0008737714,Low
50,52185,No,Sales,25,1,Sales Manager,1,No,3,0.1,1,On-site,0.1,9025,Employee Referral,20,2022-12-21,1.0,OK,7,1,1.7142857142857142,0.98426396,High
